Experiment,year,section,new start date,new end date,operation,plots,flag,operation type,amount,unit,water,water unit,variety,dressing,machine,method
Exhaustion Land,1949,all plots,03/01/1949,10/01/1949,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1949,all plots,22/03/1949,,spring-tined,,1,tillage process,,,,,,,,
Exhaustion Land,1949,all plots,23/03/1949,,seed drilled,,1,seeding process,,,,,Plumage Archer,,,
Exhaustion Land,1949,all plots,24/03/1949,,applied Sulphate of Ammonia,,1,agronomic fertilization process,2.5,cwt/acre,,,,,,
Exhaustion Land,1949,all plots,24/03/1949,,harrowed in,,1,tillage process,,,,,,,,
Exhaustion Land,1949,all plots,01/04/1949,,rolled,,1,tillage process,,,,,,,,
Exhaustion Land,1949,all plots,09/08/1949,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1993,,,,Samples of grazing and straw were taken for chemical analysis grazing,,1,comment,,,,,,,,
Exhaustion Land,1950,all plots,30/08/1949,01/09/1949,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1950,all plots,14/10/1949,,spring-tined,,1,tillage process,,,,,,,,
Exhaustion Land,1950,all plots,16/12/1949,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1950,all plots,08/03/1950,,spring-tined,,1,tillage process,,,,,,,,
Exhaustion Land,1950,all plots,11/03/1950,,spring-tined,,1,tillage process,,,,,,,,
Exhaustion Land,1950,all plots,14/03/1950,,harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1950,all plots,15/03/1950,,Sulphate of ammonia drilled,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1950,all plots,15/03/1950,,seed drilled,,1,seeding process,,,,,Plumage Archer,,,
Exhaustion Land,1950,all plots,15/03/1950,,harrowed in,,1,tillage process,,,,,,,,
Exhaustion Land,1950,all plots,15/03/1950,,rolled,,1,tillage process,,,,,,,,
Exhaustion Land,1950,all plots,30/05/1950,,Thistles cut,,1,mowing process,,,,,,,,
Exhaustion Land,1950,all plots,07/08/1950,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1951,all plots,29/08/1950,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1951,all plots,27/01/1951,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1951,all plots,16/04/1951,,seed drilled,,1,seeding process,3,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1951,all plots,16/04/1951,,Sulphate of ammonia drilled,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1952,all plots,14/09/1951,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1952,all plots,17/12/1951,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1952,all plots,28/02/1952,,seed drilled,,1,seeding process,3,bushels per acre,,,Plumage Archery,,,
Exhaustion Land,1952,all plots,28/02/1952,,Sulphate of ammonia aplied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1952,all plots,31/07/1952,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1953,all plots,04/09/1952,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1953,all plots,26/02/1953,,sulphate of ammonia applied,,1,agronomic fertilization process,2.4,cwt/acre,,,,,,
Exhaustion Land,1953,all plots,27/02/1953,,seed drilled,,1,seeding process,3,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1953,all plots,26/05/1953,,M.C.P.A. 2 pints per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1954,all plots,02/09/1953,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1954,all plots,21/10/1953,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1954,all plots,16/03/1954,,seed drilled,,1,seeding process,3,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1954,all plots,16/03/1954,,applied Sulphate of Ammonia,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1954,all plots,28/08/1954,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1955,all plots,28/09/1954,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1955,all plots,31/12/1954,,1st dressing of ground chalk applied to acid areas,,1,liming process,,,,,,,,
Exhaustion Land,1955,all plots,10/01/1955,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1955,all plots,18/03/1955,,2nd dressing of ground chalk applied,,1,liming process,,,,,,,,
Exhaustion Land,1955,all plots,21/03/1955,,Nitro-chalk applied,,1,agronomic fertilization process,3.25,cwt/acre,,,,,,
Exhaustion Land,1955,all plots,22/03/1955,,seed drilled,,1,seeding process,3,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1955,all plots,28/07/1955,,part of certain plots infested with wild oats (Avena fatua) cut and discarded,,1,,,,,,,,,
Exhaustion Land,1955,all plots,15/08/1955,,Harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1955,all plots,51/03/1955,,M.C.P.A. at 2.5 pints in 40 gallons per acre,,1,,,,,,,,,sprayed
Exhaustion Land,1955,all plots,,,Wild oats were pulled by hand during August from the harvested areas,,1,comment,,,,,,,,
Exhaustion Land,1956,all plots,12/09/1955,23/09/1955,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1956,all plots,23/09/1955,,"ploughed the NE halves of plots 1, 2 (by the side land) were fallow to reduce the weed infestation.",,1,tillage process,,,,,,,,
Exhaustion Land,1956,all plots,21/11/1955,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1956,all plots,22/11/1955,,"ploughed the NE halves of plots 1, 2 (by the side land) were fallow to reduce the weed infestation.",,1,tillage process,,,,,,,,
Exhaustion Land,1956,all plots,26/03/1956,,Nitro-chalk applied,,1,agronomic fertilization process,3.5,cwt/acre,,,,,,
Exhaustion Land,1956,all plots,03/04/1956,,seed drilled,,1,seeding process,3,bushels per acre,,,Plumage Archer,,,
Exhaustion Land,1956,all plots,15/05/1956,,"ploughed the NE halves of plots 1, 2 (by the side land) were fallow to reduce the weed infestation.",,1,tillage process,,,,,,,,
Exhaustion Land,1956,all plots,17/05/1956,,"MCPA, at 3 pints in 40 gallons per acre",,1,,,,,,,,,sprayed
Exhaustion Land,1956,all plots,23/08/1956,,"ploughed the NE halves of plots 1, 2 (by the side land) were fallow to reduce the weed infestation.",,1,tillage process,,,,,,,,
Exhaustion Land,1956,all plots,30/08/1956,,Harvested,,1,harvesting process,,,,,,,,
