R/BEW/1|1995|Long Hoos|To use pheromone-baited winter beans as a trap crop to attract spring migrant pea and bean weevils - Long Hoos|5 x 5 quasi-complete Latin square. Whole|6.0 x 6.0. Treatmonts: PHEROMON Pheromone and insecticide: - None P Pheromone PI1 Pheromone with insecticide applied once PI2 : Pheromone with insecticide applied twice PI3 i Pheromone with insecticide applied thrice i Experimental diary: 26-Sep-94! : B : Ploughed and furrow pressed. ) 21-Oct-94': B : Spring-tine cultivated, Punch, recleaned, drilled at 25 seeds per m, 07-Feb-95 : T : PHRROMON P, PI1, PI2, PI3: Pheromone applied. 04-Apr-95 : B : Bombardier at 2.0 1 in 200 1. 06-Apr-95 : T : PHEROMON PIl, PI2, PI3: Decis at 300 ml in 200 1. 19-Apr-95 : T : PHEROMON PI2, PI3: Decis at 300 ml in 200 1. 05-May-95 : T : PHEROMON PI3: Decis at 300 ml in 200 1. 01-Aug-95 : B : Combine harvested. Previous crops: W. wheat 1993, s. wheat 1994. NOTES: (1) Prom April pheromones were applied from dispensers placed at the plot centres. (2) Assessments of adult feeding damage were made between February and May. 125||
R/BEW/3|1994|Pastures|To investigate the use of pheromone-baited winter beans as a trap crop for migrants of the pea and bean weevil (Sitona lineatus) - Pastures.|5 x 5 quasi-complete Latin square. Whole|6.0 x 6.0.||TREATMNT Pheromone release and timing of insecticide applications:\ = None\ P Pheromone released, no insecticide\ PI-1 Pheromone released, insecticide applied late\ PI-2 Pheromone released, insecticide applied early\ PI-3 Pheromone released, insecticide applied early and late
R/BW/1|1992|Road Piece|To measure the effect of companion cropping on pests and diseases, growth, yield and nutrient uptake of cereals - Highfield IV/Road Piece|3 randomised blocks of 5 plots. Whole|6.0 x 10.0.||COMPCROP Companion crops sown by broadcasting:\ NONE None\ WCLOVER White clover at 20 kg after previous harvest, subsequently\ ploughed and w. barley drilled\ WMUSTL White mustard at 1.5 kg before drilling w. barley\ WMUSTM White mustard at 3.0 kg before drilling w. barley\ OILRADSH Oil radish at 1.5 kg before drilling w. barley\ Experímental diary:\ 14-Aug-91 : B : PK as (0:16:36) at 1040 kg.\ 21-Aug-91 : T : COMPCROP WCLOVER: Rotary cultivated with Bomford\ Dynadrive, New Zealand white clover broadcast at\ 20 kg.\ 09-Sep-91 : B : Ploughed and furrow pressed.\ 12-Sep-91 : B : Rolled.\ 18-Sep-91 : B : Rotary harrowed.\ 18-Sop-91 : T : COMPCROP WMUSTL: White mustard (cv. Tilney) broadcast at\ 1.5 kg.\ : T : COMPCROP WMUSTM: White mustard (cv. Tilney) broadcast at\ 3.0 kg.\ : T : COMPCROP OILRADSH: Oil radish (cv. Trick) broadcast at\ 1.5 kg.\ 18-Sep-91 : B : Rotary harrowed, Magie drilled at 140 kg, rolled.\ 06-Mar-92 : B : 34.5% N at 120 kg.\ 02-Apr-92 : B : 34.58 N at 340 kg.\ 19-Apr-92 : B : Duplosan New System CMPP at 2.0 1l and Vindex at 1.4 1l in\ 200 1.\ 03-May-92 : B : Calixin at 0.50 1l and Radar at 0.50 1 in 260 1.\ 23-Jul-92 : B : Combine harvested.\ Previous crops: W. barley 1990 and 1991.\ NOTES: (1) Plant samples were taken in December for growth analysis.\ (2) Subsequently in December severe frosts killed all the companion\ crops.\ 112
R/BW/1|1993|Great Harpenden|To measure the effect of companion cropping on pests, díseases,  . growth, yield and nutrient uptake of cereals - Great Harpenden|3 blocks of 8 plots. ‘  Whole|6.0 x 10.0.||COMPCROP Companion crops, broadcast before drilling w. barloy:\ \ NONE None (quadruplicated) : -\ \ MUST 1.5 White mustard at 1.5 kg\ \ MUST 3.0 White mustard at 3.0 kg .\ \ MUST 6.0 White mustard at 6.0 kg\ \ RADISH Oil radish at 3.0 kg
R/BW/1|1994|West Barnfield|To measure the effects of white mustard (Sinapsis alba) and oil radish (Raphanus sativus), grown as companion or cover crops, on the pests, diseases, growth, vield and nutrient uptake of w. barley - West Barnfield|3 randomised blocks of 6 plots. Whole|6.0 x 10.0.||CROP Crop, seed rate and time of sowing: .\ - None Ue\ MC White mustard, broadcast at 20 kg within one week of\ previous harvest\ Ml White mustard, broadcast at 1.5 kg on the same day as\ drilling barley\ M2 White mustard, broadcast at 3.0 kg on the same day as\ drilling barley\ M3 White mustard, broadcast at 6.0 kg on the same day as\ drilling barley c\ R1 Oil radish, broadcast at 3.0 kg on the same day as\ drilling barley
R/CS/380|1992|Webbs|To assess how effectively cover crops take up nitrogen and to assess how much of that nitrogen is subsequently available to the following crop -|3 blocks of 5 plots split into 2.|6.0 x 12.0.||All combinations of:-\ Whole plots\ 1. LAND TRT Cover crops, sown in autumn, tumbledown and fallow.\ \ All plots ploughed in spring and sown to s. barley:\ \ FO RA SB Forage rape\ \ RYE SB Rye\ \ TUMDN SB Tumbledown\ \ FALLOWSB Fallow\ Sub plots\ 2. NM Nitrogen fertilizer (kg N) to s. barley:\ \ 0\ \ 75\ plus one extra treatment :\ Whole plot\ 1. EXTRA\ \ W BARLEY W. barley sown in autumn, taken to maturity\ Sub plot\ 2. NM EXTRA Nitrogen fertilizer (kg N) to w. barley:\ \ 0\ \ 150\ \ NOTE: The tumbledown fallow was given 50 kg of seed from the previous\ S. barley crop to ensure volunteers.\ 92
R/CS/380|1993|Webbs|To assess how effectively cover crops take up nitrogen and to assess how much of that nitrogen is subsequently available to the following crop -|3 blocks of 5 plots split into 2 sub plots.|6.0 x 12.0.||All combinations of:- .\ Whole plots\ 1. LAND TRT[92] Cover crops, tumbledown and fallow ploughed and sown to\ s. barley in 1992; w. barley in 1993:\ FO RA SB Forage rape\ RYE SB Rye\ TUMDN SB Tumbledown\ FALLOWSB Fallow !\ Sub plots\ 2. NW RES[(92) Nitrogen fortilizer (kg N) to s. barley in 1992:\ (0)\ (75)\ plus one extra treatment\ Whole plot\ 1. EXTRA[92]\ W BARLEY W. barley taken to maturity in 1992\ Sub plot\ 2. N EXTRA[92] Nitrogen fertilizer (kg N) to w. barley in 1992:\ (0)\ (150)\ 94
R/CS/399|1993|Webbs|To assess how effectively cover crops take up nitrogen and to  assess how much of that nítrogen is subsequently made available to the  following crop -|3 blocks of 5 plots split into 2 sub plots. Whole|9.0 x 12.0.||.\ Whole plots\ 1. LAND TRT Cover crops, sown in autumn, tumbledown and fallow.\ \ All plots ploughed in spring and sown to s. barley:\ \ FALLOWSB Fallow\ \ FO RA SB Forage rape\ \ RYE SB Rye\ \ TUMBDN SB Tumbledown\ Sub plots\ 2. NW Nitrogen fertilizer (kg N) to s. barley:\ \ 0\ \ 75\ plus one extra treatment\ Whole plot\ 1. BXTRA\ \ W BARLEY W. barley, sown in autumn, taken to maturity\ Sub plot\ 2. N EXTRA Nitrogen fertilizer (kg N) to w. barley:\ \ 0\ \ 150\ \ NOTE: LAND TRT TUMBDN SB was given 50 kg of seed from the previous\ $. barley crop to ensure volunteers.\ 102
R/CS/399|1994|Webbs|To assess how effectively cover crops take up nitrogen and to assess how much of that nitrogen is subsequently made available to the following crop -|3 blocks of 5 plots split into 2 sub-plots. ; Whole|9.0 x 12.0.||All plots ploughed in autumn 1993 and sown to w. barley:\ Whole plots\ 1. LAND TRT Residues of cover crops, sown in autumn 1992,\ . tumbledown and fallow. Plots ploughed in spring\ 1993 and sown to s. barley:\ {FALLOWSB) Fallow\ (FO RA SB) Forage rape\ {RYE SB) Rye\ {TUMBDN SB) Tumbledown\ Sub-plots\ 2. = Residues of nitrogen fertilizer (kg N) to s. barley\ ©1993:\ (0)\ (75)\ plus one extra treatment\ Whole plot\ 1. EXTRA\ (W BARLEY) Residues of w. barley, sown in autumn 1992, taken to\ maturity:\ Sub-plot\ 2. N EXTRA Residues of nitrogen fertilizer (kg N) to w. barley,\ sown in autumn 1992: )\ (0)\ (150) "\ 86
R/CS/420|1995|Meadow|To measure the establishment, growth and yield of w. wheat and w. rape following a range of cultivations and herbicide applications after natural regeneration set-aside. To assess levels of soil nitrogen and weeds in the two crops and diseases in the wheat - Meadow.|4 randomised blocks of 5 x 2 plots split into 2 sub-plots. Whole|12.0 x 26.0. Sub-plot dimensions: 10.0 x 12.0. :||Whole plots\ 1. SETDESTR Method and time of destruction of set-aside in\ 1994:\ (PG) Ploughed in May, glyphosate pre-drilling\ (PC) Ploughed in May, cultivated in June and July\ (MP) Minimally cultivated in May, ploughed in August\ (HP) Herbicide in May, ploughed in August\ (-P) . Ploughed in August .\ Sub-plots\ 2. CROP Crop in 1995::\ R Winter rape\ Ww winter wheat\ 3. NITROGEN Fertilizer nitrogen in 1995 (kg N):\ - None\ N 160
R/CS/420|1996|Meadow|To assess the levels of disease and yield of w. wheat after w. wheat and w. rape following a range of cultivations and herbicide applications to destroy natural regeneration set-aside - Meadow.|4 randomised blocks of 5 x 2 plots split into 2 sub-plots. Whole|12.0 x 26.0. Sub-plot dimensions: 10.0 x 12.0.||Whole plots\ 1. SETDESTR Method and time of destruction of set-aside in 1994:\ (PG) Ploughed in May, glyphosate pre-drilling\ (PC) Ploughed in May, cultivated in June and July\ (MP) Minimally cultivated in May, ploughed in August\ (HP) Herbicide in May, ploughed in August\ (=P) Ploughed in August\ Sub-plots\ 2. CROP Crop in 1995:\ (R) Winter rape\ (W) Winter wheat\ 3. NITROGEN Fertilizer nitrogen in 1995 (kg N):\ (=) None\ (N) 160
